D:\MyData\yanglin23\AppData\Local\Programs\Python\Python38\python.exe C:/toppra/examples/inv.py
0.0 0.6038756502663682
0.0 0.7794195531010712
0.0 0.8714827544871315
0.0 0.9374991817756869
0.0 0.994046407501447
0.0 1.0475442867532823
0.0 1.1010421660051175
0.0 1.1545662768509786
0.0 1.2102150955690947
0.0 1.2692369152061038
0.0 1.3325773929667313
0.0 1.4010956070847445
0.0 1.4756688558265152
0.0 1.55725684927462
0.0 1.6469522203589122
0.0 1.7460297338742876
0.0 1.8560015308042916
8.881784197001252e-16 1.9786843675978214
0.0 2.1162852306126574
0.0 2.2715134121197087
0.0 2.447730210786286
0.0 2.6491523730919138
0.0 2.881133227932951
0.0 3.150557973635781
0.0 3.4664099202884406
0.0 3.8405983846357294
0.0 4.289196996771824
0.0 4.834343823836406
0.0 5.50724277420275
0.0 6.353064584116545
0.0 7.43926314569866
0.0 8.718244263343458
0.0 8.19173163713588
0.0 7.314127109095667
0.0 5.910445833967088
0.0 4.672288800377889
0.0 3.578636249993262
0.0 2.6107515580104765
0.0 1.7522238024576264
0.0 0.9888364881851988
0.0 1.0231538228357673
0.0 1.058900351528859
0.0 1.0961539449750064
0.0 1.136616491896675
0.0 1.1798717022025378
0.0 1.2262021470405495
0.0 1.2759429470348675
0.0 1.329479480715439
0.0 1.3872548114472465
0.0 1.4497800605548117
0.0 1.517647443648769
0.0 1.5915464841657405
0.0 1.6722842419382253
0.0 1.7608107101707586
0.0 1.85825094083431
0.0 1.9659460182498565
0.0 2.0855057892687725
0.0 2.2114325375811204
0.0 2.346992279200694
0.0 2.4957736992536463
0.0 2.6617681118484002
0.0 2.849621518344006
0.0 3.0649439343354103
0.0 3.314716807434575
0.0 3.6078567168159825
0.0 3.956024790718997
0.0 4.374826243163655
0.0 4.885642537917908
0.0 5.518519068038458
2.220446049250313e-16 6.316875897936702
0.0 7.345498620471295
0.0 8.517068891245474
0.0 7.518055350873407
0.0 6.448018779615633
0.0 5.218865590780497
0.0 4.1179359135080125
0.0 3.1492070212670997
0.0 2.294681790417373
0.0 1.538754171841136
0.0 0.8679927930202505
0.0 0.8982184832804437
0.0 0.9298029895088537
0.0 0.962819459704445
0.0 0.9988758466293716
0.0 1.0375670942492345
0.0 1.0791520492278215
0.0 1.123937983709113
0.0 1.1722784594935247
0.0 1.2245802582315812
0.0 1.2813130467775957
2.220446049250313e-16 1.3430215082431856
0.0 1.410340411545236
0.0 1.4840133928391837
0.0 1.5649165147338024
0.0 1.6540880459777934
0.0 1.752766422948627
0.0 1.8624390849759274
0.0 1.9849059209598972
0.0 2.122362582161693
0.0 2.2775111518756836
0.0 2.4537090106450132
0.0 2.6551718373980524
0.0 2.8872546107682058
0.0 3.1568470419829797
0.0 3.472940265669825
0.0 3.847455566580776
4.440892098500626e-16 4.296484062853617
0.0 4.842189043604482
0.0 5.515810949774823
0.0 6.362574264767154
0.0 7.450013912740832
0.0 8.718244263343466
0.0 8.191731637135888
0.0 7.314127109095515
0.0 5.910445833967065
0.0 4.6722888003778795
0.0 3.5786362499932833
2.220446049250313e-16 2.610751558010474
0.0 1.7522238024576247
0.0 0.9888364881851978
0.0 1.023153822835767
0.0 1.0589003515288598
0.0 1.0961539449750068
0.0 1.1366164918966755
0.0 1.1798717022025382
0.0 1.22620214704055
0.0 1.2759429470348678
0.0 1.3294794807154395
0.0 1.387254811447247
0.0 1.4497800605548115
0.0 1.5176474436487688
0.0 1.5915464841657403
0.0 1.672284241938225
0.0 1.760810710170758
0.0 1.858250940834309
0.0 1.9659460182498554
8.881784197001252e-16 2.085505789268771
0.0 2.2114325375811195
0.0 2.346992279200693
0.0 2.4957736992536486
0.0 2.661768111848403
0.0 2.8496215183440095
0.0 3.0649439343354112
0.0 3.314716807434573
0.0 3.607856716815977
0.0 3.956024790718989
0.0 4.374826243163646
0.0 4.885642537917898
0.0 5.518519068038447
0.0 6.316875897936688
0.0 7.345498620471278
0.0 8.51706889124548
0.0 7.51805535087345
0.0 6.448018779615644
0.0 5.218865590780513
0.0 4.117935913508025
0.0 3.1492070212671104
0.0 2.294681790417382
0.0 1.5387541718411515
0.0 0.867992793020258
0.0 0.8982184832804457
0.0 0.9298029895088528
0.0 0.9628194597044442
0.0 0.9988758466293709
0.0 1.0375670942492343
0.0 1.0791520492278215
0.0 1.123937983709113
0.0 1.1722784594935247
0.0 1.2245802582315812
0.0 1.2813130467775957
0.0 1.3430215082431856
0.0 1.4103404115452358
0.0 1.4840133928391834
0.0 1.5649165147338022
0.0 1.654088045977793
0.0 1.7527664229486266
0.0 1.8624390849759265
0.0 1.984905920959896
0.0 2.122362582161692
0.0 2.2775111518756823
0.0 2.4537090106450115
0.0 2.65517183739805
0.0 2.8872546107682022
8.881784197001252e-16 3.1568470419829757
0.0 3.4729402656698243
0.0 3.847455566580774
0.0 4.296484062853614
0.0 4.8421890436044785
4.440892098500626e-16 5.515810949774818
0.0 6.362574264767147
0.0 7.450013912740822
0.0 8.718244263343472
0.0 8.191731637135897
0.0 7.314127109095533
0.0 5.910445833967085
0.0 4.672288800377889
0.0 3.5786362499932585
0.0 2.6107515580104765
0.0 1.7522238024576255
0.0 0.9888364881851986
 
